"sex","age","month","unemployed"
"women","total 15-74 years","2015M03",8.0
"women","total 15-74 years","2015M04",8.4
"women","total 15-74 years","2015M05",8.0
"women","total 15-74 years","2015M06",8.7
"women","total 15-74 years","2015M07",6.4
"women","total 15-74 years","2015M08",6.2
"women","total 15-74 years","2015M09",6.8
"women","total 15-74 years","2015M10",7.2
"women","total 15-74 years","2015M11",6.2
"women","total 15-74 years","2015M12",6.4
"women","total 15-74 years","2016M01",7.4
"women","total 15-74 years","2016M02",7.3
"women","total 15-74 years","2016M03",7.1
"women","total 15-74 years","2016M04",7.2
"women","total 15-74 years","2016M05",7.6
"women","total 15-74 years","2016M06",7.0
"women","total 15-74 years","2016M07",6.2
"women","total 15-74 years","2016M08",6.9
"women","total 15-74 years","2016M09",5.7
"women","total 15-74 years","2016M10",6.3
"women","total 15-74 years","2016M11",6.2
"women","total 15-74 years","2016M12",5.9
"women","total 15-74 years","2017M01",7.1
"women","total 15-74 years","2017M02",6.8
"women","total 15-74 years","2017M03",6.6
"women","total 15-74 years","2017M04",6.9
"women","total 15-74 years","2017M05",7.2
"women","total 15-74 years","2017M06",7.1
"women","total 15-74 years","2017M07",6.6
"women","total 15-74 years","2017M08",5.9
"women","total 15-74 years","2017M09",6.3
"women","total 15-74 years","2017M10",6.1
"women","total 15-74 years","2017M11",5.7
"women","total 15-74 years","2017M12",6.3
"women","total 15-74 years","2018M01",7.3
"women","total 15-74 years","2018M02",5.8
"women","total 15-74 years","2018M03",6.7
"women","total 15-74 years","2018M04",6.7
"women","total 15-74 years","2018M05",5.8
"women","total 15-74 years","2018M06",7.7
"women","total 15-74 years","2018M07",6.3
"women","total 15-74 years","2018M08",5.9
"women","total 15-74 years","2018M09",6.6
"women","total 15-74 years","2018M10",5.5
"women","total 15-74 years","2018M11",6.0
"women","total 15-74 years","2018M12",6.1
"women","total 15-74 years","2019M01",7.0
"women","total 15-74 years","2019M02",7.1
"women","total 15-74 years","2019M03",7.9
"women","total 15-74 years","2019M04",7.4
"women","total 15-74 years","2019M05",7.4
"women","total 15-74 years","2019M06",7.3
"women","total 15-74 years","2019M07",7.3
"women","total 15-74 years","2019M08",7.6
"women","total 15-74 years","2019M09",6.3
"women","total 15-74 years","2019M10",6.2
"women","total 15-74 years","2019M11",7.3
"women","total 15-74 years","2019M12",6.1
"women","total 15-74 years","2020M01",7.3
"women","total 15-74 years","2020M02",8.5
"women","total 15-74 years","2020M03",7.5
"women","total 15-74 years","2020M04",8.2
"women","total 15-74 years","2020M05",9.7
"women","total 15-74 years","2020M06",10.0
"women","total 15-74 years","2020M07",8.8
"women","total 15-74 years","2020M08",9.9
"women","total 15-74 years","2020M09",8.1
"women","total 15-74 years","2020M10",7.9
"women","total 15-74 years","2020M11",8.0
"women","total 15-74 years","2020M12",8.7
"women","total 15-74 years","2021M01",9.4
